Name	Title	Description	URL
pacific-immunology	Pacific Immunology	Pacific Immunology	https://www.pacificimmunology.com/
stephen-bell	Stephen Bell	Stephen Bell at Massachusetts Institute of Technology	https://biology.mit.edu/people/stephen_bell
susan-fisher	Susan Fisher	Susan Fisher at UCSF	http://fisherlab.ucsf.edu/
stephen-dalton	Stephen Dalton	Stephen Dalton at UGA	http://www.daltonlab.uga.edu/
jefferey-marks	Jefferey Marks	Jefferey Marks at Duke University	http://surgery.duke.edu/faculty/details/0098991
plasmid-repository	PlasmID Repository	PlasmID Repository at Harvard Medical School	https://plasmid.med.harvard.edu/PLASMID/Home.xhtml
jerrold-olefsky	Jerrold Olefsky	Jerrold M. Olefsky Lab at University of California, San Diego	http://endocrinology.ucsd.edu/Faculty/olefsky.html
wako	Wako Chemicals	Wako Chemicals	http://www.wakousa.com/
michael-mannstadt	Michael Mannstadt	Michael Mannstadt at Massachusetts General Hospital	http://www.massgeneral.org/cancer/doctors/doctor.aspx?ID=17826
stanford-cfc	Stanford CFC	Cystic Fibrosis Center at Stanford University (CFC)	http://cfcenter.stanford.edu/
icrc	ICRC	Islet Cell Resource Center	http://icr.coh.org/
usbio	USBio	United States Biological	https://www.usbio.net/
sdix	SDIX, LLC	SDIX, LLC	http://www.sdix.com/
callaini-giuliano	Callaini Guiliano	Callaini Guiliano at University of Siena	http://www.dbe.unisi.it/index.php?option=com_content&view=article&id=50&Itemid=75&lang=en
santa-cruz-biotech	Santa Cruz Biotech	Santa Cruz Biotechnology	http://www.scbt.com
sigma	Sigma	Sigma-Aldrich	http://www.sigmaaldrich.com
gregory-crawford	Gregory Crawford	Gregory Crawford at Duke University	http://www.genome.duke.edu/labs/crawford/
ran	RAN	Recombinant Antibody Network	http://recombinant-antibodies.org/
calvin-cotton	Calvin Cotton	Calvin Cotton at Case Western Reserve University	http://cf.case.edu/Cotton.html
thomas-gingeras	Thomas Gingeras	Thomas Gingeras at Cold Spring Harbor Laboratory	http://gingeraslab.cshl.edu/
aruna-biomedical	ArunA Biomedical	ArunA Biomedical	http://www.arunabiomedical.com/
james-thomson	James Thomson	James Thomson at Morgridge Institute, University of Wisconsin	http://discovery.wisc.edu/home/morgridge/about-morgridge/leadership/james-thomson/
cathy-savage-dunn	Cathy Savage-Dunn	Cathy Savage-Dunn at City University of New York	http://biology.qc.cuny.edu/people/faculty/cathy-savage-dunn/
epitomics	Epitomics	Epitomics	http://www.epitomics.com
aviva	Aviva	Aviva Systems Biology	http://www.avivasysbio.com
sescc	SESCC	Southeast Stem Cell Consortium	http://www.sestemcells.uga.edu/index.html
aviva-and-kevin-white	Aviva Systems Biology and Kevin White	Aviva Systems Biology and Kevin White at University of Chicago	http://www.avivasysbio.com/
bethyl-labs	Bethyl Labs	Bethyl Laboratories	http://www.bethyl.com
michael-snyder	Michael Snyder	Michael Snyder at Stanford University	http://snyderlab.stanford.edu
genetex	GeneTex	GeneTex	http://www.genetex.com
eric-lai	Eric Lai	Eric Lai at Memorial Sloan Kettering Cancer Center	https://www.mskcc.org/research-areas/labs/eric-lai
charles-graham	Charles Graham	Charles Graham at Queen's University	http://meds.queensu.ca/faculty/charles_graham
steven-henikoff	Steven Henikoff	Steven Henikoff at Fred Hutchinson Cancer Research Center	http://research.fhcrc.org/henikoff/en.html
william-kelly	William Kelly	William Kelly at Emory University	http://www.biology.emory.edu/research/Kelly/
rush-university	Rush University	Rush University Medical Center	http://www.rush.edu/
john-reinitz	John Reinitz	John Reinitz at University of Chicago	http://flyex.uchicago.edu/newlab/index.shtml
medimabs	Medimabs	Medimabs	https://www.medimabs.com/
axxora	Axxora	Axxora	http://www.axxora.com/
dana-levasseur	Dana Levasseur	Dana Levasseur at University of Iowa	http://www.int-med.uiowa.edu/Divisions/Immunology/Directory/DanaLevasseur.html
assay-biotech	Assay Biotech	Assay Biotechnology	http://www.assaybiotechnology.com/
shin-lin	Shin Lin	Shin Lin at Stanford	http://med.stanford.edu/profiles/Shin_Lin/
andrew-dingwall	Andrew Dingwall	Andrew Dingwall at Loyola University Chicago	http://www.stritch.luc.edu/oncology_institute/content/dingwall-lab
keith-ligon	Keith Ligon	Keith Ligon at Harvard	http://www.dfhcc.harvard.edu/membership/profile/member/582/0/
igor-zhimulev-and-harald-saumweber	Harald Saumweber	Igore Zhimulev at Russian Academy of Sciences and Harald Saumweber at Humboldt University Berlin	http://www2.hu-berlin.de/biologie/cytogen/
rainer-renkawitz	Rainer Renkawitz	Rainer Renkawitz at University of Giessen	http://www.uni-giessen.de/cms/fbz/fb08/Inst/biochem/international-networks/gradu/partners/renkawitz
evan-rosen	Evan Rosen	Evan Rosen at Beth Israel Deaconess Medical Center	http://www.bidmc.org/Research/Departments/Medicine/Divisions/Endocrinology/Laboratories/RosenLab/Members/EvanRosen.aspx
joanna-wysocka	Joanna Wysocka	Joanna Wysocka at Stanford University	http://stemcellphd.stanford.edu/faculty/joanna-wysocka.html
a-thomas-look	A. Thomas Look	A. Thomas Look at Dana-Farber Cancer Institute	http://researchers.dana-farber.org/directory/profile.asp?pict_id=0000129
jan-larsson	Jan Larsson	Jan Larsson at Umeå University	http://www.molbiol.umu.se/english/research/researchers/jan-larsson/
novartis-and-kevin-white	Novartis and Kevin White	Novartis and Kevin White at University of Chicago	http://www.us.novartis.com/
abgent	Abgent	Abgent	http://www.abgent.com/
kpbbb	KPBBB	Kathleen Price Bryan Brain Bank (KPBBB)	https://adrc.mc.duke.edu/index.php/research/brain-bank
christina-leslie	Christina Leslie	Christina Leslie Laboratory at Memorial Sloan-Kettering Cancer Center 	https://www.mskcc.org/research-areas/labs/christina-leslie
